SNO,Question Content,Option A,Option B,Option C,Option D,Number of correct answer,Correct Answers
1,A developer is asked to write helper methods that create test data for unit tests. 01: public TestUtils { 02: 03: public static Account createAccount() { 04: Account act = new Account()05: // ...set some fields on act... 06: return act07: } 08: //...other methods... 09: } What should be changed in the TestUtils class so that its methods are only usable by unit test methods?,Add @IsTest above line 03.,Add @istest above line 01.,Change public to private on line 01.,Remove static from line 03.,1,B
2,Refer to the following Apex code: Integer x = 0do{ x = x + 1x++} while (x < 1)System.debug(x)What is the value of x when it is written to the debug log?,1,3,2,4,1,C
3,Which two actions may cause triggers to fire?,Cascading delete operations,Changing a user's default division when the transfer division option is checked,Renaming or replacing a picklist entry,Updates to FeedItem,2,"A, D"
4,A developer wants to import 500 Opportunity records into a sandbox. Why should the developer choose to use Data Loader instead of Data Import Wizard?,Data Loader automatically relates Opportunities to Accounts.,Data Loader runs from the developer's browser.,Data Import Wizard can not import all 500 records.,Data Import Wizard does not support Opportunities.,1,C
5,What are two characteristics related to formulas?,Formulas can reference themselves.,Formulas are calculated at runtime and are not stored in the database.,Fields that are used in a formula field can be deleted or edited without editing the,Formulas can reference values in related objects.,2,"B, D"
6,What should a developer use to fix a Lightning web component bug in a sandbox?,Force.com IDE,Execute Anonymous,Developer Console,VS Code,1,D
7,"Developers at Universal Containers (UC) use version control to share their code changes, but they notice that when they deploy their code to different environments they often have failures. They decide to set up Continuous Integration (CI). What should the UC development team use to automatically run tests as part of their CI process?",Force.com Toolkit,Salesforce CLI,Visual Studio Code,Developer Console,1,B
8,Which exception type cannot be caught?,A custom exception,LimitException,NoAccessException,CalloutException,1,B
9,A developer created a child Lightning web component nested inside a parent Lightning web component. The parent component needs to pass a string value to the child component. In which two ways can this be accomplished?,The parent component can invoke a public method in the child component.,The parent component can use a public property to pass the data to the child,The parent component can use the Apex controller class to send data to the child,The parent component can use a custom event to pass the data to the child,2,"A, B"
10,"Flow Builder uses an Apex action to provide additional information about multiple Contacts, stored in a custom 'ContactInfo'. Which is the correct definition of the Apex method that gets the additional information?",@InvocableMethod(label='Additional Info') public List<ContactInfo> getInfo(List<Id>,@InvocableMethod(label='Additional Info') public ContactInfo getInfo(Id contactId) {,@InvocableMethod(label='Additional Info') public static ContactInfo getInfo(Id,@InvocableMethod(label='Additional Info') public static List<ContactInfo>,1,D
11,"""When a user edits the Postal Code on an Account, a custom Account text field named """"Timezone"""" must be updated based on the values in a 'PostalCodeToTimezone_c' custom object. Which two automation tools can be used to implement this feature?""",Approval process,Quick actions,Fast Field Updates record-triggered flow,Account trigger,2,"C, D"
12,Which statement generates a list of Leads and Contacts that have a field with the phrase 'ACME'?,"List <sObject> searchList = [FIND 'ACME' IN ALL FIELDS RETURNING Contact, Lead]","Map <sObject> searchList = [FIND 'ACME' IN ALL FIELDS RETURNING Contact, Lead]","List<list <sObject>> searchList = [SELECT Name, ID FROM Contact, Lead WHERE","List<list <sObject>> searchList = [FIND 'ACME*' IN ALL FIELDS RETURNING Contact,",1,D
13,  6 Which scenario is valid for execution by unit tests?,Generate a Visualforce PDF with getContentAsPDF().,Execute anonymous Apex as a different user.,Set the created date of a record using a system method.,Load data from a remote site with a callout.,1,C
14,A developer is tasked with building a custom Lightning web component to collect Contact information. The form will be shared among many different types of users in the org. There are security requirements that only certain should be edited and viewed by certain groups of users. What should the developer use in their Lightning Web Component to support the security requirements?,aura-input-field,ui-input-field,lightning-input-field,forca-input-field,1,C
15,Universal Containers decides to use purely declarative development to build out a new Salesforce application. Which two options can be used to build out the business logic layer for this application?,Record-Triggered Flow,Batch Jobs,Validation Rules,Remote Actions,2,"A, C"
16,"A developer created these three Rollup Summary fields in the custom object, Project_c: Total_Timesheets_c, Total_Approved_Timesheets_c, Total_Rejected_Timesheet_c. The developer is asked to create a new field that shows the ratio between rejected and approved timesheets for a new field. Which should the developer use to implement the business requirement in order to minimize maintenance overhead?",Apex trigger,Roll-up summary field,Record-triggered flow,Formula field,1,D
10,A developer is asked to update code that requires them to validate input into a trigger. Which Apex Control Flow Statement should the developer use?,Conditional (If-Else) Statement,While Loop,Switch Statement,For Loop,1,A
11,A developer wants to send an outbound message when a record meets a specific criteria. Which two features satisfy this use case?,Flow Builder can be used to check the record criteria and send an outbound message.,Approval Process can be used to check the record criteria and send an outbound,Next Best Action can be used to check the record criteria and send an outbound,Entitlement Process can be used to check the record criteria and send an outbound,2,"A, B"
12,Which two events need to happen when deploying to a production org?,All Apex code must have at least 75% test coverage.,All custom objects must have visibility set to a value other than In Development.,All Visual flows must have at least 1% test coverage.,,2,"A, B"
13,"A company has a custom object, Sales_Help_Request__c, that has a Lookup relationship to Opportunity. The Sales_Help_Request__c has a number field, Number_of_Hours__c, that represents the amount of time spent on Sales_Help_Request__c. A developer is tasked with creating a field, Total_Hours__c, on Opportunity that should be the sum of all of the Number_of_Hours__c values for the Sales_Help_Request__c records related to that Opportunity. What should the developer use to implement this?",A roll-up summary field on the Sales_Help_Request__c object,A roll-up summary field on the Opportunity object,A record-triggered flow on the Sales_Help_Request__c object,A trigger on the Opportunity object,1,B
14,Which three Salesforce resources can be accessed from a Lightning web component?,Content asset files,SVG resources,All external libraries,Third-party web components,2,"A, B"
15,"Universal Containers hires a developer to build a custom search page to help users find the Accounts they want. Users will be able to search on Name, Description, and a custom comments field. Which consideration should the developer be aware of when deciding between SOQL and SOSL?",SOSL is able to return more records.,SOQL is able to return more records.,SOSL is faster for text searches.,SOQL is faster for text searches.,1,C
16,Universal Containers needs to create a custom user interface component that allows users to enter information about their accounts. The component should be able to validate the user input before saving the information to the database. What is the best technology to create this component?,Visualforce,Lightning Web Components,Flow,VUE JavaScript framework,1,B
17,"Refer to the code snippet below: import fetchOps from '@salesforce/apex/OpportunitySearch.fetchOpportunities'@wire(fetchOps) opportunitiesWhen a Lightning web component is rendered, a list of opportunities that match certain criteria should be retrieved from the database and displayed to the end-user.   10 Which three considerations must the developer implement to make the fetchOpportunities method available when Lightning web component?",The method must be annotated with the @AuraEnabled annotation.,The method must be annotated with the @InvocableMethod annotation.,The method cannot mutate the result set retrieved from the database.,The method must specify the (cacheable=true) attribute.,3,"A, C, D"
18,Which three resources in an Aura component can contain JavaScript functions?,Helper,Style,Design,Renderer,2,"A, D"
19,Where are two locations a developer can look to find information about the status of batch or future methods?,Apex Flex Queue,Apex Jobs,Paused Flow Interviews component,Developer Console,2,"B, D"
20,Which code statement includes an Apex method named updateAccounts in the class AccountController for use in a Lightning web component?,import updateAccounts from 'AccountController',import updateAccounts from '@salesforce/apex/AccountController.updateAccounts',import updateAccounts from '@salesforce/apex/AccountController',import updateAccounts from 'AccountController.updateAccounts',1,B
21,Universal Containers wants Opportunities to no longer be editable when it reaches the Closed/Won stage. Which two strategies can a developer use to accomplish this?,Use a validation rule.,Use an auto-response rule.,Use a before-save Apex trigger.,Use an automatically launched Approval Process.,2,"A, C"
22,What are two benefits of using declarative customizations over code?,Declarative customizations automatically generate test classes.,Declarative customizations automatically update with each Salesforce release.,Declarative customizations generally require less maintenance.,Declarative customizations cannot generate runtime errors.,2,"B, C"
23,A team of many developers work in their own individual orgs that have the same configuration as the production org. Which type of org is best suited for this scenario?,Partner Developer Edition,Developer Sandbox,Full Sandbox,Developer Edition,1,B
